VMA21	YGR105W	CUP5	YEL027W	1
VMA21	YGR105W	PKR1	YMR123W	1
VMA21	YGR105W	VMA8	YEL051W	1
tor2-21	YKL203C	tor2-29	YKL203C	1
tor2-21	YKL203C	tsc10-1	YBR265W	1
CPR6	YLR216C	GIM3	YNL153C	1
CPR6	YLR216C	MON1	YGL124C	1
CPR6	YLR216C	stu1-12	YBL034C	1
CPR6	YLR216C	YLR217W	YLR217W	1
CPR6	YLR216C	THI13	YDL244W	1
CPR6	YLR216C	KIP3	YGL216W	1
CPR6	YLR216C	YGL217C	YGL217C	1
CPR6	YLR216C	KAR9	YPL269W	1
CPR6	YLR216C	YPL205C	YPL205C	1
CPR6	YLR216C	UBP9	YER098W	1
CPR6	YLR216C	CLB4	YLR210W	1
CPR6	YLR216C	stu2-12	YLR045C	1
CPR6	YLR216C	YPT7	YML001W	1
YOL050C	YOL050C	RLF2	YPR018W	1
YOL050C	YOL050C	HOS2	YGL194C	1
YOL050C	YOL050C	YML010C-B	YML010C-B	1
YOL050C	YOL050C	SUB1	YMR039C	1
YOL050C	YOL050C	PIB2	YGL023C	1
IRC14	YOR135C	IRA2	YOL081W	1
IRC14	YOR135C	IDH2	YOR136W	1
IRC14	YOR135C	IDH1	YNL037C	1
YML117W-A	YML117W-A	NAB6	YML117W	1
VPS20	YMR077C	RIM20	YOR275C	1
VPS20	YMR077C	VPS4	YPR173C	1
VPS20	YMR077C	VPS28	YPL065W	1
VPS20	YMR077C	RIM13	YMR154C	1
VPS20	YMR077C	RIM8	YGL045W	1
VPS20	YMR077C	DFG16	YOR030W	1
VPS20	YMR077C	STP22	YCL008C	1
VPS20	YMR077C	VPS36	YLR417W	1
VPS20	YMR077C	RIM9	YMR063W	1
VPS20	YMR077C	VPS25	YJR102C	1
VPS20	YMR077C	VPS27	YNR006W	1
YLL017W	YLL017W	HCS1	YKL017C	1
YLL017W	YLL017W	VPS24	YKL041W	1
YNL040W	YNL040W	YMR244W	YMR244W	1
YNL040W	YNL040W	RRD1	YIL153W	1
YNL040W	YNL040W	IMP2&apos;	YIL154C	1
MUS81	YDR386W	RAD55	YDR076W	1
MUS81	YDR386W	RTT107	YHR154W	1
MUS81	YDR386W	MMS4	YBR098W	1
MUS81	YDR386W	PBY1	YBR094W	1
MUS81	YDR386W	SLX4	YLR135W	1
MUS81	YDR386W	DDC1	YPL194W	1
MUS81	YDR386W	RNH201	YNL072W	1
MUS81	YDR386W	SAE2	YGL175C	1
MUS81	YDR386W	MRE11	YMR224C	1
MUS81	YDR386W	SRS2	YJL092W	1
MUS81	YDR386W	RAD51	YER095W	1
MUS81	YDR386W	RAD9	YDR217C	1
MUS81	YDR386W	RAD52	YML032C	1
MUS81	YDR386W	YCL060C	YCL060C	1
MUS81	YDR386W	RAD57	YDR004W	1
MUS81	YDR386W	RAD50	YNL250W	1
MUS81	YDR386W	RAD54	YGL163C	1
MUS81	YDR386W	XRS2	YDR369C	1
MUS81	YDR386W	RAD17	YOR368W	1
MUS81	YDR386W	CTF4	YPR135W	1
MUS81	YDR386W	SLX1	YBR228W	1
MUS81	YDR386W	RAD24	YER173W	1
MUS81	YDR386W	YBR100W	YBR100W	1
MUS81	YDR386W	YBR099C	YBR099C	1
ALG5	YPL227C	SLP1	YOR154W	1
ALG5	YPL227C	GUP1	YGL084C	1
ALG5	YPL227C	OST3	YOR085W	1
ALG5	YPL227C	CWH43	YCR017C	1
ALG5	YPL227C	ALG8	YOR067C	1
ALG5	YPL227C	ost1-6	YJL002C	1
ALG5	YPL227C	SED1	YDR077W	1
ALG5	YPL227C	DIE2	YGR227W	1
ALG5	YPL227C	kre5-ts2	YOR336W	1
ALG5	YPL227C	IRE1	YHR079C	1
ALG5	YPL227C	ACK1	YDL203C	1
ALG5	YPL227C	SNC2	YOR327C	1
ALG5	YPL227C	CNE1	YAL058W	1
ALG5	YPL227C	YFL032W	YFL032W	1
ALG5	YPL227C	YAL058C-A	YAL058C-A	1
ALG5	YPL227C	PGM1	YKL127W	1
ALG5	YPL227C	ROT2	YBR229C	1
ALG5	YPL227C	wbp1-1	YEL002C	1
ALG5	YPL227C	HAC1	YFL031W	1
ALG5	YPL227C	ALG6	YOR002W	1
ALG5	YPL227C	YER140W	YER140W	1
ALG5	YPL227C	ERI1	YPL096C-A	1
ALG5	YPL227C	YLR111W	YLR111W	1
ALG5	YPL227C	YMR148W	YMR148W	1
ALG5	YPL227C	KEX1	YGL203C	1
ALG5	YPL227C	CSF1	YLR087C	1
ALG5	YPL227C	STE24	YJR117W	1
ALG5	YPL227C	ALG9	YNL219C	1
ALG5	YPL227C	OST6	YML019W	1
ALG5	YPL227C	NAB6	YML117W	1
ALG5	YPL227C	API2	YDR525W	1
ALG5	YPL227C	wbp1-2	YEL002C	1
ALG5	YPL227C	ALG12	YNR030W	1
ALG5	YPL227C	CCW12	YLR110C	1
ALG5	YPL227C	LAS21	YJL062W	1
ALG5	YPL227C	gab1-1	YLR459W	1
ALG5	YPL227C	OST5	YGL226C-A	1
ALG5	YPL227C	CWH41	YGL027C	1
ALG5	YPL227C	SCJ1	YMR214W	1
ALG5	YPL227C	YBL083C	YBL083C	1
ALG5	YPL227C	HRD1	YOL013C	1
ALG5	YPL227C	gwt1-20	YJL091C	1
ALG5	YPL227C	ero1-1	YML130C	1
ALG5	YPL227C	FYV8	YGR196C	1
ALG5	YPL227C	OST2_damp	YOR103C	1
ALG5	YPL227C	SPC2	YML055W	1
IRC3	YDR332W	UBX5	YDR330W	1
PET8	YNL003C	LIP5	YOR196C	1
PET8	YNL003C	YNL140C	YNL140C	1
PET8	YNL003C	mge1-100	YOR232W	1
PET8	YNL003C	LAT1	YNL071W	1
PET8	YNL003C	ATP11	YNL315C	1
PET8	YNL003C	MNE1	YOR350C	1
PET8	YNL003C	COQ2	YNR041C	1
PET8	YNL003C	SCO1	YBR037C	1
PET8	YNL003C	QCR8	YJL166W	1
PET8	YNL003C	COX14	YML129C	1
PET8	YNL003C	FLX1	YIL134W	1
PET8	YNL003C	EOS1	YNL080C	1
PET8	YNL003C	AFG3	YER017C	1
PET8	YNL003C	YDJ1	YNL064C	1
PET8	YNL003C	SUV3	YPL029W	1
PET8	YNL003C	MSS2	YDL107W	1
TIM13	YGR181W	HOS2	YGL194C	1
TIM13	YGR181W	prp21-ts	YJL203W	1
TIM13	YGR181W	RMD11	YHL023C	1
TIM13	YGR181W	YDL157C	YDL157C	1
TIM13	YGR181W	SAP190	YKR028W	1
TIM13	YGR181W	YGL165C	YGL165C	1
TIM13	YGR181W	VPS71	YML041C	1
TIM13	YGR181W	SIF2	YBR103W	1
TIM13	YGR181W	SET3	YKR029C	1
TIM13	YGR181W	PEX30	YLR324W	1
TIM13	YGR181W	ARP6	YLR085C	1
TIM13	YGR181W	SWR1	YDR334W	1
TIM13	YGR181W	TOM6	YOR045W	1
TIM13	YGR181W	SNO4	YMR322C	1
TIM13	YGR181W	VPS72	YDR485C	1
TIM13	YGR181W	PRM6	YML047C	1
TIM13	YGR181W	YGR182C	YGR182C	1
RBG1	YAL036C	PDE2	YOR360C	1
RBG1	YAL036C	GLG1	YKR058W	1
RPS14B	YJL191W	ARL3	YPL051W	1
RPS14B	YJL191W	YIL089W	YIL089W	1
FKH2	YNL068C	MIH1	YMR036C	1
FKH2	YNL068C	MBP1	YDL056W	1
FKH2	YNL068C	CLB2	YPR119W	1
FKH2	YNL068C	YBR134W	YBR134W	1
MTC3	YGL226W	YGL057C	YGL057C	1
MTC3	YGL226W	AIM11	YER093C-A	1
MTC3	YGL226W	YBL059W	YBL059W	1
dsn1-7	YIR010W	dsn1-8	YIR010W	1
dsn1-7	YIR010W	MAD2	YJL030W	1
dsn1-7	YIR010W	mcd1-73	YDL003W	1
dsn1-7	YIR010W	nsl1-5	YPL233W	1
dsn1-7	YIR010W	smc1-259	YFL008W	1
dsn1-7	YIR010W	MAD1	YGL086W	1
dsn1-7	YIR010W	scc2-4	YDR180W	1
dsn1-7	YIR010W	smc3-42	YJL074C	1
dsn1-7	YIR010W	smc3-1	YJL074C	1
dsn1-7	YIR010W	BIM1	YER016W	1
dsn1-7	YIR010W	smc1-2	YFL008W	1
dsn1-7	YIR010W	cbf2-1	YGR140W	1
dsn1-7	YIR010W	KAR3	YPR141C	1
SLP1	YOR154W	ALG8	YOR067C	1
SLP1	YOR154W	DIE2	YGR227W	1
SLP1	YOR154W	ACK1	YDL203C	1
SLP1	YOR154W	YER140W	YER140W	1
SLP1	YOR154W	STE24	YJR117W	1
SLP1	YOR154W	ALG12	YNR030W	1
SLP1	YOR154W	OST5	YGL226C-A	1
SLP1	YOR154W	YBL083C	YBL083C	1
VAM3	YOR106W	MON1	YGL124C	1
VAM3	YOR106W	VPS33	YLR396C	1
VAM3	YOR106W	AAH1	YNL141W	1
VAM3	YOR106W	VAM7	YGL212W	1
VAM3	YOR106W	VPS16	YPL045W	1
VAM3	YOR106W	VAM6	YDL077C	1
VAM3	YOR106W	VPS41	YDR080W	1
VAM3	YOR106W	APL5	YPL195W	1
VAM3	YOR106W	APL6	YGR261C	1
VAM3	YOR106W	CCZ1	YBR131W	1
VAM3	YOR106W	YPT7	YML001W	1
MRS3	YJL133W	HEM2_damp	YGL040C	1
MRS3	YJL133W	CPR3	YML078W	1
MRS3	YJL133W	ERV1_damp	YGR029W	1
ENT3	YJR125C	GGA2	YHR108W	1
ENT3	YJR125C	AGE2	YIL044C	1
ENT3	YJR125C	BPH1	YCR032W	1
ENT3	YJR125C	DAN1	YJR150C	1
ENT3	YJR125C	PEP8	YJL053W	1
ENT3	YJR125C	TIR3	YIL011W	1
ENT3	YJR125C	LEO1	YOR123C	1
ENT3	YJR125C	YHP1	YDR451C	1
YMR244W	YMR244W	ADH2	YMR303C	1
PEX4	YGR133W	YJL211C	YJL211C	1
PEX4	YGR133W	PEX8	YGR077C	1
PEX4	YGR133W	PEX15	YOL044W	1
PEX4	YGR133W	PEX14	YGL153W	1
PEX4	YGR133W	PEX12	YMR026C	1
PEX4	YGR133W	YGL152C	YGL152C	1
PEX4	YGR133W	IMP2	YMR035W	1
PEX4	YGR133W	PEX3	YDR329C	1
