MNN2	232.981	1839.706
YJL169W	-970.332	1606.186
MSB1	416.337	2064.282
DOA1	-1145.164	2507.927
IPK1	-97.465	2593.098
YMR316C-B	-1694.053	2476.633
RPL40B	-840.398	92.090
MHT1	-1757.854	2412.706
SIP3	-188.608	211.660
YPR076W	318.532	1733.286
SNA4	-1239.353	2743.740
FAS2_damp	-1734.716	715.016
LSM7	-1807.516	1366.026
GAT3	848.994	2092.894
GAL2	-644.397	769.715
cdc27-1	-1134.649	2715.396
VPS45	486.402	1099.643
SED1	434.283	1699.674
URA5	465.918	2491.876
SIP1	-1805.374	1774.680
RRP15_damp	-993.593	1077.128
YLH47	-1613.981	2448.226
KHA1	582.072	221.961
YGR164W	-53.863	983.332
SWE1	208.435	1868.968
YER084W	73.341	1097.602
MSC1	-94.252	814.379
YPT53	-812.398	668.283
YIA6	408.301	2500.963
RPL36A	-1128.805	348.013
TAT1	1062.183	1054.917
FRE4	662.508	540.649
YDR094W	-245.788	2888.591
mcm10-1	854.989	612.641
URE2	467.871	2189.540
SSY1_damp	-923.189	821.718
YDR532C	-513.405	2503.615
THI22	-2086.124	1219.824
SNF8	878.098	1342.518
HDA1	1008.026	1222.421
YCR090C	-578.348	1690.102
RUD3	326.010	1189.042
YKL105C	-373.585	-324.930
CKA2	-1865.934	2187.094
YMR057C	836.236	2141.960
KTR5	-954.487	2014.942
MLP1	-1785.327	1865.556
VPS17	627.456	1060.356
RSC2	-1280.507	1494.156
RRD2	-336.937	2461.695
MET12	216.233	2643.251
COX5A	-747.697	397.701
AIM18	-977.398	-19.200
RPS27B	-909.680	220.291
YNR040W	-1857.700	1328.870
prp4-ts	-1254.645	1518.284
SUM1	-9.164	2413.707
PUS9	919.775	599.759
PYC2	-1905.028	1219.609
ALY2	-2081.220	796.980
SPF1	567.761	1626.355
YNL013C	-1532.071	185.213
YPR089W	453.558	707.621
YNR042W	-2007.018	2033.177
MEC3	-722.309	2741.042
YLR374C	133.713	1287.907
SOP4	-1498.569	1120.827
MON1	-332.972	1665.999
RPS30B	-1032.824	344.919
YLR287C	-1905.875	1731.708
YFR032C	365.259	2515.428
YEL047C	-149.813	394.526
VPS33	511.743	1294.218
YNR063W	-2069.585	1601.191
HXT3	-1278.908	468.189
DIE2	527.898	1640.685
YOL114C	976.354	769.392
YBT1	943.057	1777.913
ADE1	-107.270	70.610
CHZ1	476.394	1553.883
DPB3	-1083.786	1779.935
YOR1	-1398.388	2688.500
NUP170	-1614.265	1801.160
mcd1-73	-838.053	2576.970
NGL2	-888.475	58.122
MDM34	-1284.535	-69.182
PCS60	-1576.585	2534.997
YMR153C-A	-1486.213	1906.729
PMU1	1058.465	1112.522
HXT15	-1999.088	589.860
RPL43B	-1137.568	384.149
TKL1	448.678	338.849
LIP2	2.827	122.211
SEY1	-1578.426	2304.378
cog3-1	306.505	995.194
YLR173W	-1813.322	1573.163
AMD2	-2157.483	981.598
YBR027C	-2048.102	1596.546
TMA23	-1346.794	376.753
YOL024W	-1660.096	1787.975
EMC6	-1435.258	1632.266
AAH1	-66.048	762.656
MNI1	-1385.999	986.425
JAC1_damp	365.043	2653.091
ILV1	296.453	34.208
SDT1	-1322.046	1881.036
NUP100	-1663.191	2005.078
STP3	-955.438	2707.378
VMA22	587.319	555.073
PRX1	-1600.813	426.674
RPS28A	-975.609	618.398
SLM3	-1668.512	702.252
VBA3	-1893.033	458.111
GCN5	-1994.655	1706.688
DBP9_damp	-765.093	1239.997
HES1	270.298	80.730
SIP2	-1846.450	298.123
YHR112C	23.827	2775.137
HAP2	-428.855	-1.614
HST4	-630.398	2790.526
SHY1	-519.943	214.620
IRC5	-540.528	2037.279
YLR255C	-1652.963	700.155
TRM3	-1414.905	721.176
CPR8	-691.592	-322.632
ARO7	382.593	203.417
kre5-ts2	590.664	1597.325
FBP26	-481.505	1010.603
rpt4-150	-1117.555	2242.762
LST4	763.135	892.986
arp9-1	-1117.996	2132.452
SIM1	803.973	1871.464
YLR184W	311.107	216.190
YER066W	-2067.333	1037.769
KAP123_damp	-1944.956	583.731
OPI7	-1433.954	2008.375
pds1-128	-932.537	2609.833
