	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YOL119C	-1.142
YDL079C	-0.989
YDR494W	0.047
YDR504C	-0.676
YER093C-A	-0.160
YBL029W	-0.003
YJR035W	-0.461
YJR031C	1.180
YBR103W	2.736
YGL151W	-0.549
YMR263W	-0.926
YLR354C	-1.760
YGR151C	0.444
YNL146W	1.274
YKR096W	0.009
YMR201C	-0.023
YER055C	-0.029
YDR392W	-0.724
YLR417W	-1.077
YMR027W	0.290
YBL083C	-0.014
YMR028W	NaN
YGR027C	-0.009
YPL066W	-2.246
YER072W	-0.592
YOL002C	-0.030
YPR015C	0.013
YOR161C	-0.976
YJL156C	NaN
YPL015C	-0.076
YDR322W	-0.032
YOL103W	0.284
YGR208W	-0.010
YGL020C	-1.782
YKR055W	-0.031
YHR030C	-3.204
YOR021C	-0.025
YEL009C	-0.473
YMR036C	-0.020
YBR167C	NaN
YGR079W	0.512
YGL005C	2.215
YBL022C	-1.824
YCR010C	0.005
YFR001W	1.133
YCL051W	0.023
YFL063W	-0.217
YGL195W	NaN
YPL149W	-0.015
YMR166C	0.946
YOR193W	-0.716
YMR153C-A	-0.891
YNL229C	0.220
YGR138C	-0.163
YDR444W	-1.048
YOL059W	0.124
YDR226W	NaN
YDR083W	0.817
YDL190C	1.580
YGL016W	0.067
YCR076C	0.542
YPL154C	0.036
YOR236W	NaN
YOL090W	-0.976
YNL067W	4.202
YHR198C	0.410
YCL011C	-0.580
YML067C	-0.107
YGR275W	-1.742
YBR144C	-0.170
YLR181C	0.197
YDR439W	0.018
YOL100W	1.685
YPL140C	0.598
YBL001C	1.036
YBR018C	0.227
YLR415C	-0.157
YDL069C	0.073
YDR330W	-0.072
YGL012W	-7.908
YGL094C	-0.789
YOR331C	NaN
YJR053W	1.443
YMR287C	0.710
YKL133C	0.703
YLR247C	0.035
YIL101C	-0.060
YDR395W	0.860
YOL138C	-1.188
YNR014W	-0.007
YLR410W	1.008
YDR448W	-1.869
YOR035C	0.363
YDL077C	-0.033
YML057W	-0.998
YGR125W	0.077
YGL135W	3.947
YLR238W	0.009
YJR084W	0.532
YCR028C	2.242
YLR401C	-0.099
YLR057W	0.387
YLL009C	0.014
YPL055C	0.492
YIL032C	0.249
YBR083W	-0.532
YLR262C-A	-0.002
YHR150W	0.897
YGL249W	-0.116
YIL122W	NaN
YOR233W	-0.166
YMR151W	0.467
YLR070C	-0.705
YBL048W	-1.561
YDR536W	0.485
YNL107W	0.133
YMR190C	-2.362
YDR262W	0.401
YLR095C	-0.524
YJL123C	-0.003
YLR091W	0.133
YJL095W	-4.996
YHL034C	1.009
YBR054W	-0.515
YLR283W	0.061
YGL047W	NaN
YKL006W	2.142
YBL009W	0.077
YNL177C	2.604
YMR303C	1.877
YIL034C	NaN
YGL130W	NaN
YDR046C	-0.068
YNL078W	-0.123
YLR130C	0.020
YIL105C	0.983
YLR198C	NaN
YGL065C	NaN
YDR351W	-1.309
YPR026W	0.403
YMR083W	1.474
YDL141W	NaN
YPL064C	1.344
YGR157W	-1.153
YDR466W	-0.040
YBR296C	0.309
YOR030W	-0.373
YPR001W	-0.513
YDR150W	-2.592
YOR322C	-0.175
YIL096C	2.024
YGR266W	0.054
YMR123W	0.313
YPL197C	1.236
YDR148C	-0.509
YDR273W	-0.748
YDR097C	-1.042
YJL077C	-0.363
YGR117C	2.253
YNR063W	-0.734
YMR175W	-0.134
YDR412W	NaN
YNL305C	-0.114
YIL116W	0.533
YBR199W	-0.432
YOR258W	-5.017
YDR209C	0.133
YOR005C	0.031
YNL041C	1.637
YPR040W	-1.444
YPL206C	0.053
YKL031W	-0.180
YDR414C	0.191
YGL074C	NaN
YDL121C	-0.717
YIR027C	0.299
YEL033W	2.323
YPL039W	0.011
YDL239C	-0.004
YBR128C	0.240
YKL103C	-0.021
YOR279C	-0.816
YLR022C	NaN
YBL090W	-2.477
YIL069C	1.811
YJR149W	1.025
YJL175W	0.148
YDR183W	0.091
YPL031C	0.014
YGL107C	0.268
YNR006W	-0.375
YPL047W	-1.270
YMR092C	-0.089
YNL246W	0.106
YBR133C	-0.461
YMR100W	0.460
YHR155W	0.056
YBR003W	NaN
YDR406W	0.008
YER172C	NaN
YPR172W	-0.019
YMR257C	0.555
YMR137C	-0.096
YBL036C	-0.599
YIL064W	0.070
YNL136W	-2.612
YAR037W	-0.031
YJL049W	0.499
YDR278C	0.510
YNL025C	1.702
YBR237W	NaN
YFR033C	-0.139
YAL010C	0.782
YKL061W	-0.590
YLR379W	NaN
YML113W	-0.024
YOR231W	0.558
YDL213C	-2.039
YDL131W	-0.341
YDL040C	3.043
YGL022W	NaN
YGR182C	-0.585
YDR255C	0.057
YFL013C	-0.010
YOL015W	-1.269
YER041W	-2.535
YBR269C	1.860
YDL005C	NaN
YJL109C	NaN
YKL076C	-5.081
YGR295C	-0.469
YHR014W	-0.002
YIL128W	NaN
YGL248W	0.065
YCL047C	0.062
YCL001W-A	0.394
YHR123W	-0.042
YPL147W	-0.774
YML050W	-0.045
YGL008C	NaN
YDR402C	-0.034
YCR024C	2.590
YDL010W	-2.298
YDR471W	1.508
YML052W	-0.565
YPR151C	NaN
YMR081C	-1.363
YBR097W	NaN
YOR016C	-0.061
YDR528W	-0.220
YPL062W	0.408
YIR037W	1.047
YIL165C	-0.607
YMR235C	NaN
YLR243W	NaN
YJR131W	0.030
YER056C	0.397
YHR151C	-0.065
YGR101W	2.510
YPL222W	-0.306
YPL186C	-0.395
YIL031W	NaN
YFL008W	NaN
YMR223W	-3.756
YDR108W	-2.203
YBR041W	0.290
YDL206W	-0.938
YBL003C	1.554
YOR307C	0.076
YBL066C	-0.257
YOR141C	-3.089
YJR097W	0.004
YCR066W	0.242
YNL173C	0.333
YOL051W	NaN
YOL126C	-0.119
YGL243W	0.027
YER047C	-0.167
YGR178C	-0.006
YGL262W	0.001
YPR153W	-0.008
YNL289W	0.333
YNL231C	-0.002
YAR002C-A	-0.031
YDR253C	-3.019
YJR050W	0.023
YOR158W	0.274
YDR121W	-2.440
YLL058W	-0.644
YBR113W	0.005
YPR149W	0.275
YPR104C	NaN
YJR116W	0.024
YLL006W	3.586
YOL006C	3.862
YLR179C	-0.464
YGR184C	-1.060
YEL048C	0.567
YDR022C	0.985
YBL043W	-0.238
YOR127W	0.070
YJL217W	-1.556
YNL127W	0.153
YJL206C-A	1.115
YHL027W	-0.526
YPR167C	-0.759
YLR371W	-1.867
YPR134W	0.416
YMR160W	-0.793
YDR462W	0.936
YFR031C	NaN
YJR075W	0.372
YGR041W	-1.842
YLR211C	-0.041
YLR197W	-1.932
YKR073C	-1.701
YPR182W	NaN
YDR233C	-0.392
YIL110W	0.965
YBR289W	0.678
YHR199C	-0.361
YDR450W	3.054
YOL122C	1.216
YNL225C	-1.258
YDR485C	0.072
YBL042C	0.610
YNL278W	-0.314
YLR118C	-0.836
YOR264W	0.018
YMR122C	1.157
YCL012W	0.016
YPR030W	-0.277
YGR123C	0.524
YNL134C	-0.840
YPL014W	-0.026
YNL294C	-1.137
YLR366W	0.484
YKL211C	NaN
YCR087C-A	1.385
YLR265C	-0.039
YGR201C	-0.164
YPR079W	0.011
YLR372W	3.199
YKR087C	-0.210
YIL154C	0.225
YER091C	NaN
YMR035W	0.124
YDL134C-A	-1.361
YGL240W	-0.366
YGR096W	-0.862
YDR217C	-2.090
YBR062C	-0.075
YNL055C	4.017
YOL115W	-2.640
YKL204W	NaN
YOR250C	NaN
YOL105C	0.122
YGL179C	-0.072
YAL009W	1.581
YOL057W	0.501
YER014W	NaN
YCL007C	0.357
YLR059C	0.700
YDR242W	-0.035
YBR098W	-13.261
YOR059C	0.017
YJL190C	0.030
YFL034W	-0.126
YKL011C	-0.913
YBL040C	NaN
YPL101W	2.170
YJL067W	-0.061
YFL021W	0.466
YDL130W-A	-0.295
YGL194C	0.116
YMR210W	-0.897
YLR326W	0.091
YOR369C	0.128
YCR031C	1.788
YPR121W	0.054
YMR142C	0.777
YFR021W	-0.041
YPR053C	-0.014
YGL154C	0.064
YFL018C	0.209
YAL043C-A	-0.319
YDR068W	-0.224
YGL210W	0.001
YLR172C	-1.383
YGR147C	2.354
YER046W	0.775
YDR128W	0.155
YBR197C	0.476
YOL117W	-0.369
YJL166W	0.161
YEL014C	0.016
YOR085W	1.481
YMR205C	2.048
YOL101C	-0.050
YMR065W	-1.052
YGL048C	NaN
YGR020C	-2.369
YGL032C	-0.058
YDL133W	-1.338
YPR017C	-1.815
YGR003W	0.176
YNL133C	2.290
YGL181W	-0.232
YDR260C	-2.011
YKL096W	-0.182
YGL232W	1.471
YJL117W	1.743
YDL153C	NaN
YBR110W	NaN
YDL189W	-1.187
YNR009W	-1.385
YLR431C	-0.011
YCL059C	NaN
YKL221W	-0.957
YGR006W	NaN
YBR031W	5.542
YGL027C	-0.043
YKR095W	-1.618
YLR011W	0.007
YKR099W	6.186
YGR263C	-0.589
YGL250W	0.015
YIL094C	0.998
YOR019W	-0.991
YML117W	-3.951
YKL038W	-0.137
YGL152C	-0.011
YBR287W	-0.052
YIR044C	0.445
YGL237C	0.011
YDR096W	-1.918
YBR034C	0.040
YER173W	-7.399
YBR236C	NaN
YBR205W	0.370
YOL042W	-0.408
YKR070W	-0.422
YPR173C	-1.055
YNL235C	-1.856
YPL063W	NaN
YMR196W	1.489
YGR230W	-0.070
YBR112C	NaN
YLL055W	0.090
YIL146C	0.003
YGR224W	-0.001
YOR029W	-0.070
YBL104C	1.396
YOR120W	0.074
YNR066C	-0.902
YHR043C	-0.072
YHR007C	NaN
YJR070C	0.076
YBR064W	-1.547
YCR079W	-0.803
YLR282C	0.130
YKL056C	-0.170
YDL125C	0.031
YDL112W	-0.159
YDL110C	-0.323
YLR397C	NaN
YFL048C	-0.524
YLR252W	-2.978
YML020W	-0.191
YEL005C	-1.411
YMR218C	NaN
YDR105C	-0.785
YJR077C	1.690
YBR131W	-0.071
YOR043W	-0.008
YIL057C	1.438
YGR062C	3.736
YGL196W	-0.028
YPR125W	-1.205
YOL083W	0.022
YIL070C	0.453
YKL106W	-0.284
YER103W	0.547
YOR138C	-0.019
YIL135C	0.171
YIR029W	-0.930
YMR261C	1.494
YJR073C	0.001
YOR057W	NaN
YIL111W	0.363
YLR188W	0.010
YJL195C	NaN
YGL141W	0.920
YLR248W	-0.046
YOR190W	0.017
YDR423C	-0.759
YCR020C	-0.032
YIL045W	0.525
YJR043C	-2.082
YGR210C	0.260
YGR100W	-1.154
YPL228W	NaN
YEL051W	1.322
YKR041W	-0.365
YKR034W	0.031
YER176W	-0.787
YHR049W	-0.150
YEL032W	NaN
YHR001W-A	-1.110
YBR266C	0.256
YJL207C	-0.696
YDL232W	NaN
YHR096C	0.168
YLL026W	0.018
YLR357W	1.307
YDR297W	1.012
YPL097W	2.601
YLR438W	-0.053
YIR033W	3.578
YOR253W	-0.004
YKL087C	0.194
YOL013C	-0.370
YGR039W	-0.004
YDL230W	-0.124
YLR004C	0.526
YGR031W	-0.006
YPL199C	0.196
YEL063C	0.982
YKL164C	-1.160
YGR142W	0.874
YNL217W	-1.901
YMR140W	0.088
YGL165C	-1.159
YBL052C	-0.119
YPL105C	-1.205
YBR159W	-0.198
YDL136W	0.879
YLR246W	0.119
YMR158C-B	-0.005
YNL013C	-0.867
YBL074C	NaN
YKL185W	-1.025
YOR001W	1.634
YHR003C	-1.521
YGR227W	0.865
YGL076C	3.618
YFL041W	-1.487
YPL224C	0.015
YDR202C	-0.001
YKL062W	0.231
YJR102C	-0.129
YHR115C	0.238
YML038C	-0.317
YKL116C	-1.078
YJL192C	-2.023
YDR181C	2.399
YDR315C	-1.270
YKL134C	3.894
YBR260C	0.858
YLR271W	0.007
YDR520C	1.316
YAR029W	-0.526
YOR366W	0.006
YDR004W	-10.755
YOR153W	-0.613
YOR065W	2.223
YDR425W	-0.189
YBR208C	-3.323
YGL155W	NaN
YMR161W	0.109
YCR012W	NaN
YOR277C	-0.267
YNR065C	0.006
YMR109W	-0.928
YGL081W	-0.062
YER184C	-0.707
YBL015W	-0.440
YMR135W-A	-0.053
YGL097W	NaN
YOR285W	-0.009
YDR467C	0.209
YER142C	-0.395
YDR228C	NaN
YMR145C	-0.051
YKL041W	0.099
YOR051C	-2.098
YOR375C	0.849
YAL026C	-0.019
YLR099C	1.386
YDR248C	-0.004
YER020W	1.464
YKL039W	0.071
YMR204C	-1.082
YKL005C	-1.075
YJR125C	-1.048
YER116C	1.086
YBR179C	0.029
YML051W	3.200
YKL009W	4.114
YCL044C	0.009
YOR167C	2.428
YNR029C	1.468
YKL127W	0.016
YDL113C	-0.363
YLR287C	-1.330
YDL028C	NaN
YMR307W	2.123
YJL161W	-0.874
YDR213W	-0.001
YNL054W	0.902
YIL059C	-0.581
YPL250C	0.435
YLR433C	-0.090
YJL023C	0.363
YDR086C	NaN
YNL279W	-0.071
YHL043W	0.014
YIR005W	3.307
YDL049C	-0.811
YDR185C	0.008
YLR312W-A	0.638
YMR177W	-0.831
YOL052C	-0.277
YGR081C	1.005
YBR231C	-3.316
YBR032W	-0.472
YJR032W	1.579
YPL116W	-0.535
YJR128W	-0.269
YOR280C	-0.243
YER050C	4.007
YPR048W	NaN
YPL265W	0.050
YKL130C	-0.192
YPR147C	-0.311
YKL096W-A	1.121
YDR483W	-1.860
YKR097W	-0.199
YGR045C	-0.750
YOL060C	-1.311
YIR016W	0.000
YJR154W	0.120
YJR144W	0.443
YJR121W	0.267
YPL077C	2.684
YER097W	0.009
YLR370C	-0.001
YBR135W	NaN
YPR011C	-1.111
YAR018C	3.442
YMR003W	1.954
YDR059C	-1.313
YGL153W	0.063
YPL022W	-1.995
YNL214W	0.323
YER114C	0.167
YPL210C	NaN
YOR213C	1.196
YKL171W	0.007
YJL150W	-0.209
YFR047C	0.031
YIL157C	-0.376
YER106W	-0.965
YKL066W	-0.790
YDR198C	-0.767
YKR060W	-0.832
YMR163C	-0.491
YHR203C	2.801
YOR087W	0.325
YKL109W	-1.085
YJL030W	1.540
YLR454W	0.036
YER048C	-1.104
YGL137W	NaN
YGL069C	NaN
YHR022C	-0.050
YBR232C	-0.097
YGR181W	0.162
YGR004W	-0.037
YGL124C	-0.084
YML004C	0.112
YER092W	2.612
YML095C	0.057
YKL154W	NaN
YJR078W	-0.660
YDR124W	-1.014
YDR434W	NaN
YBR072W	-0.189
YIL015C-A	3.940
YNL104C	-0.711
YCR023C	0.095
YMR271C	0.704
YLR296W	-1.366
YEL001C	0.006
YEL053C	-0.938
YNL080C	0.547
YGR150C	4.286
YEL062W	-1.146
YMR057C	-0.139
YER178W	NaN
YIL042C	-1.171
YMR315W	0.239
YJR066W	0.189
YER183C	0.001
YGL039W	-0.143
YNL007C	NaN
YGR088W	1.683
YLR330W	-3.394
YDL101C	-0.245
YOL096C	-0.035
YDR206W	-0.048
YDL011C	-0.391
YGR159C	0.953
YNL228W	1.139
YPL181W	-0.008
YNL141W	-0.070
YHR132W-A	0.074
YGR248W	0.015
YGR023W	-0.007
YJR015W	0.017
YGR055W	-0.772
YBR246W	1.237
YHR065C	NaN
YLR032W	0.041
YIL015W	0.037
YER153C	2.346
YCL061C	0.708
YMR283C	1.458
YDL127W	0.006
YBL069W	-0.224
YOR295W	0.308
YER040W	3.273
YPR164W	-12.372
YOR270C	1.897
YEL055C	NaN
YJR058C	-0.781
YDL106C	0.079
YOL148C	NaN
YML007W	0.476
YBR151W	-0.502
YBR075W	-1.018
YOL064C	0.436
YKR003W	0.001
YNR007C	-0.928
YMR237W	-0.380
YKL092C	0.375
YJL106W	0.005
YNL318C	0.258
YKL093W	0.000
YJL158C	0.068
YLL054C	-0.198
YIL030C	-0.920
YPL088W	-0.009
YDL219W	0.092
YER067W	0.008
YCL033C	-0.003
YLR381W	-0.106
YDR123C	-0.605
YKL111C	NaN
YJR059W	0.807
YBR035C	-1.253
YML048W	-0.710
YDR442W	-0.862
YLR341W	-0.066
YJL201W	NaN
YNR070W	0.000
YOL093W	-0.722
YDR155C	-0.458
YER065C	1.231
YPL202C	0.045
YBL068W	0.000
YOR103C	NaN
YLR413W	-0.390
YER002W	1.739
YCR069W	0.654
YPR052C	-0.544
YOR039W	-0.713
YLR254C	-0.977
YER101C	0.917
YGL203C	-1.357
YLR408C	-1.177
YJL018W	NaN
YHR200W	-1.233
YDR529C	2.339
YGR225W	-1.489
YGR160W	1.852
YLR437C	0.480
YDL218W	-0.011
YBR183W	0.003
YPL141C	0.012
YMR291W	-0.056
YOR301W	-0.495
YER141W	-0.005
YBR297W	1.746
YER088C	-0.467
YLR061W	4.217
YOR165W	-0.439
YDL135C	0.222
YLR374C	-0.017
YDR156W	0.588
YNR034W	-0.159
YOR255W	0.021
YKL082C	NaN
YKR021W	0.005
YPL267W	-0.337
YLR261C	0.728
YGR086C	-0.021
YDR002W	NaN
YKL033W-A	-2.316
YFL001W	1.325
YMR246W	-0.454
YKL089W	NaN
YKL129C	-0.012
YJR009C	-0.013
YJL135W	0.075
YPL214C	1.067
YOR114W	-0.539
YOR088W	-0.016
YOL048C	-0.208
YKL053W	0.369
YER185W	0.032
YOR312C	5.046
YLR054C	-0.500
YDR192C	-0.483
YJL191W	-0.017
YFL019C	-1.130
YML100W-A	0.785
YGR216C	NaN
YDR270W	0.794
YPL225W	3.507
YHR143W	-0.042
YHR034C	NaN
YBR125C	-0.454
YDR519W	-0.084
YER135C	-0.918
YEL012W	1.834
YIL067C	0.009
YBR212W	0.032
YIL073C	0.085
YDR178W	-0.170
YDL167C	-2.979
YLR292C	0.133
YHR134W	0.939
YAL039C	NaN
YNL106C	-0.173
YIL056W	-1.006
YER170W	0.886
YGL070C	NaN
YLL023C	0.070
YDR363W-A	0.004
YMR242C	-0.572
YDL187C	0.711
YOR198C	-2.706
YGR065C	NaN
YBR281C	0.789
YNL255C	0.010
YMR290W-A	NaN
YGR257C	0.363
YDR036C	-0.194
YLL013C	0.320
YOR196C	0.012
YMR268C	NaN
YLL025W	-0.271
YIL011W	0.852
YMR084W	-0.060
YHR168W	0.974
YPL163C	-0.361
YKR092C	3.167
YPL096W	0.009
YOL129W	-0.047
YOR240W	0.148
YNL142W	0.428
YLL032C	-3.451
YDR259C	0.055
YIL152W	-1.226
YJR096W	-0.235
YGL071W	-0.703
YLR097C	0.010
YLR023C	0.120
YPL200W	-0.144
YDL223C	-0.028
YBR016W	0.009
YNL160W	0.042
YMR316C-B	0.098
YOL062C	0.003
YNL140C	-0.040
YLR391W	2.373
YLR206W	-0.616
YHL005C	-0.092
YGL162W	-0.551
YNL083W	-0.647
YLR315W	0.733
YKL101W	-2.400
YIL129C	NaN
YDR310C	-0.775
YLR232W	-3.349
YLR189C	-0.026
YER083C	-0.028
YBR044C	-1.226
YCR092C	-1.242
YDR398W	NaN
YNL087W	-0.177
YKL203C	NaN
YDL033C	-0.705
YJR055W	3.814
YGR206W	-0.039
YAL067C	0.358
YIL141W	0.220
YBR286W	0.540
YLR052W	3.973
YGL244W	NaN
YLR277C	NaN
YNL264C	0.604
YNL176C	0.664
YFR023W	-0.644
YIL005W	-0.558
YAL002W	1.441
YJL144W	-1.343
YPR120C	-7.581
YLR257W	-0.382
YLR204W	-0.762
YDR345C	0.010
YMR189W	0.112
YGL177W	-0.576
YGL218W	3.824
YDR051C	-0.445
YDL154W	0.051
YOR125C	4.083
YKL105C	-0.444
YGL238W	NaN
YPL223C	-1.036
YHR184W	0.506
YKL001C	-0.001
YLR193C	0.459
YJR062C	0.243
YIR018W	-0.041
YBL099W	0.796
YDL026W	-0.918
YPL005W	2.991
YPL115C	0.306
YNR071C	0.005
YKL045W	NaN
YBR238C	0.999
YML076C	0.383
YLL061W	1.527
YNL114C	NaN
YMR276W	0.133
YML121W	1.395
YJL048C	0.202
YCR063W	3.751
YOL112W	-0.286
YPR005C	1.213
YLR220W	-0.135
YKR048C	0.930
YKR024C	1.834
YPL111W	-0.002
YMR021C	-0.639
YOR379C	0.119
YOR326W	NaN
YFR024C-A	0.120
YLR019W	-0.063
YJL173C	NaN
YCL057W	1.473
YNL105W	-0.461
YFL051C	0.006
YBR291C	1.812
YOR315W	0.340
YHR133C	1.083
YPL168W	0.408
YKL029C	0.028
YOL147C	-0.002
YMR214W	-5.826
YFL040W	-0.773
YMR130W	0.061
YJL036W	0.977
YLR119W	-0.624
YAL064C-A	-0.212
YKL027W	0.091
YDR176W	-5.160
YFL012W	0.137
YGL176C	-0.886
YBR096W	NaN
YKL160W	0.881
YIR001C	0.008
YFR043C	0.028
YJR003C	0.004
YIL074C	-0.005
YPL227C	0.664
YPL008W	-6.458
YPL069C	0.125
YKL063C	-0.599
YHR100C	3.654
YPL098C	0.543
YER186C	-0.200
YDL045W-A	NaN
YBR073W	-3.390
YHR029C	-0.792
YFL056C	-2.511
YDR445C	-0.800
YOR130C	-0.986
YNL124W	NaN
YDL192W	0.006
YNL038W	NaN
YJR100C	-0.491
YBR174C	-0.717
YBR284W	0.167
YLR365W	-0.321
YIL167W	0.450
YGR247W	-0.710
YJR080C	-0.001
YGR193C	-0.016
YNL115C	0.055
YKR046C	0.034
YKR106W	-0.021
YBR230C	-0.106
YKL047W	0.436
YPL189W	-0.038
YNR001C	-0.207
YIR006C	NaN
YJR006W	-1.158
YFR006W	0.003
YOL159C	-0.442
YLR107W	1.157
YPR018W	0.855
YPL001W	0.040
YCL049C	-0.005
YLR231C	0.000
YPL270W	1.385
YOR017W	-0.702
YNR067C	0.087
YMR275C	0.484
YNL082W	0.647
YLR288C	-6.249
YER038W-A	-0.540
YLR085C	-3.345
YKL032C	0.938
YPL263C	0.007
YGR284C	-0.765
YPL185W	-0.842
YOL061W	-0.119
YDL081C	3.540
YNL298W	NaN
YBR106W	0.247
YKL162C	-1.074
YJR106W	-0.713
YEL018W	0.602
YGR234W	-0.718
YER081W	1.468
YBR250W	0.032
YBR210W	1.576
YJL154C	-0.051
YBR043C	1.073
YMR089C	1.061
YDR184C	-0.989
YDR510W	NaN
YJL181W	-0.963
YIL093C	-0.002
YDR490C	0.023
YNL056W	0.003
YHL042W	0.497
YEL039C	1.957
YDL018C	-0.216
YHR064C	3.273
YDR025W	-1.349
YEL065W	0.185
YOR152C	-0.678
YMR178W	0.000
YGR170W	0.997
YBR223C	-1.774
YLR458W	NaN
YLR263W	-0.626
YKR006C	0.599
YPL072W	0.072
YAL044C	-0.028
YDR433W	-0.551
YPL119C	-0.835
YJL116C	-0.182
YGR271W	-0.251
YEL041W	0.901
YBR184W	0.040
YOR242C	0.188
YAL049C	-0.140
YOL032W	1.323
YMR191W	0.636
YHR142W	-1.906
YOL047C	-0.012
YOL001W	0.505
YLR363C	0.963
YJL180C	0.046
YPL176C	-0.325
YIL159W	1.432
YKR023W	-0.025
YBR262C	-0.095
YAL066W	-1.450
YDR088C	NaN
YLR319C	-2.383
YPR133W-A	NaN
YNL014W	1.052
YKR102W	-0.507
YNL257C	0.040
YEL015W	-0.007
YER053C	1.478
YNL024C	-0.752
YCR007C	-1.644
YPR073C	-0.504
YLR289W	0.541
YKL187C	-0.639
YJR038C	-0.512
YDR383C	0.049
YEL013W	3.172
YOR237W	-0.635
YNL310C	NaN
YBR161W	-0.896
YGL010W	-1.066
YLR138W	-0.093
YAL021C	-4.517
YBR227C	-0.352
YJL043W	0.706
YGL209W	-0.003
YGL108C	0.128
YBR068C	-1.128
YER179W	-0.247
YPR089W	-0.592
YER121W	-0.161
YKR013W	0.685
YFL025C	0.019
YLR074C	2.232
YPL183W-A	0.073
YKL006C-A	NaN
YER064C	-0.237
YIL043C	1.061
YKL054C	-7.471
YGL147C	2.799
YBL062W	-1.010
YLR407W	-0.079
YGR118W	2.912
YOR382W	0.228
YGL257C	-0.768
YDR354W	0.952
YPL033C	-0.095
YOL041C	2.050
YBL050W	NaN
YLR044C	-0.202
YGL131C	-1.140
YHR086W	0.070
YGR165W	0.291
YLR387C	-0.185
YOR321W	-0.757
YGR180C	NaN
YGL180W	-0.923
YDR294C	-0.388
YDL133C-A	-0.073
YLR294C	-0.004
YLR239C	-0.336
YPR099C	0.076
YLR063W	1.044
YKL138C	1.462
YOR368W	-5.895
YMR072W	1.095
YER115C	0.538
YPL273W	0.033
YKL022C	NaN
YKL074C	0.103
YDR261C	-0.006
YBR253W	NaN
YJL022W	0.036
YGR132C	-0.002
YDR109C	-0.390
YDR072C	0.580
YOL099C	-0.040
YOR297C	-0.010
YFR032C	-0.779
YJL073W	-1.895
YOR054C	-0.746
YDL171C	0.176
YKL014C	NaN
YGL241W	-1.186
YMR286W	0.345
YOR291W	1.553
YBL082C	0.348
YPL174C	-0.223
YLR249W	NaN
YDR321W	-0.033
YKL148C	0.218
YKR027W	0.693
YAL014C	-0.526
YBR105C	0.933
YDR293C	-5.252
YLR096W	-0.331
YIL072W	0.025
YGR240C	NaN
YGL060W	3.328
YBL077W	NaN
YGL214W	1.573
YOR286W	-0.240
YNR062C	0.192
YNL241C	NaN
YOL012C	-0.241
YLR421C	-0.181
YJL163C	0.131
YLR344W	1.389
YPL036W	-1.447
YIL137C	-0.445
YER117W	0.895
YOR053W	-0.079
YFR052W	NaN
YDL129W	-0.547
YOR230W	0.310
YIL113W	0.767
YBL065W	-2.404
YDL104C	-1.193
YPR163C	NaN
YLR429W	0.430
YOR269W	0.010
YLR205C	-0.506
YKR084C	1.686
YKR033C	-0.813
YJL157C	-0.567
YAL036C	-0.184
YDR101C	1.259
YDL225W	-1.153
YDR438W	0.621
YCR015C	-0.117
YIL089W	-0.061
YCR094W	-2.095
YER031C	0.573
YBR090C-A	0.046
YDR501W	0.109
YNL009W	0.677
YGR104C	0.055
YGR089W	1.631
YER071C	0.494
YER091C-A	-0.104
YEL054C	-0.063
YBR229C	-0.034
YOL034W	NaN
YNL147W	-1.368
YMR041C	-0.732
YIR030C	-0.024
YML109W	0.078
YNL059C	-2.835
YBR156C	-3.851
YPR093C	0.576
YLR082C	0.075
YDR389W	-1.675
YPL087W	-0.008
YOL013W-A	0.007
YMR029C	-0.277
YIR009W	0.887
YJL063C	-0.066
YOR015W	0.435
YDR496C	0.156
YPR180W	-1.772
YGR291C	0.977
YKL071W	-0.367
YLR201C	0.356
YGL160W	-0.516
YDR144C	0.006
YBR012C	-1.092
YBR118W	NaN
YKR090W	-0.016
YHR046C	-1.317
YDL072C	0.115
YOR347C	-0.576
YOR079C	-0.660
YNL094W	-0.891
YNR008W	-0.591
YKL050C	-0.049
YDR436W	-0.420
YDR085C	-0.111
YNL081C	3.956
YGR292W	0.009
YMR058W	-0.212
YDR001C	-0.570
YBR288C	0.603
YGR014W	-0.028
YGR221C	-0.802
YGR207C	-0.368
YPR042C	-1.266
YMR124W	-0.107
YGL066W	-2.740
YDR067C	-0.394
YOR293W	NaN
YKL212W	-2.132
YIL014W	-0.929
YNL300W	0.166
YGL050W	0.796
YLR223C	NaN
YGR202C	0.027
YER085C	-0.204
YDR357C	-0.080
YEL027W	2.694
YDR029W	-0.010
YNL010W	2.113
YGR276C	0.237
YPR014C	-0.335
YPR154W	-0.107
YBR053C	-0.153
YBR028C	0.018
YOR202W	-0.365
YPL106C	0.449
YML066C	0.308
YMR172W	-0.815
YLR281C	0.222
YCR105W	-0.009
YER019C-A	-0.170
YMR244C-A	-0.448
YMR302C	-0.011
YGR226C	-0.227
YOR041C	-0.009
YOL054W	-0.809
YBR243C	NaN
YMR141C	-0.834
YOR037W	0.588
YNL248C	2.049
YJR135C	-0.528
YJL162C	-0.617
YKL064W	-0.505
YGR144W	1.174
YPR139C	1.717
YEL066W	0.506
YLR327C	-1.057
YDR474C	0.903
YOL160W	-0.680
YOR094W	0.069
YNL179C	1.270
YMR004W	0.814
YHR023W	NaN
YDR314C	-0.075
YBR283C	2.161
YBL012C	0.194
YMR082C	-1.729
