	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YML078W	-0.041
YIR004W	-0.485
YHL029C	-0.061
YIR032C	1.440
YDR258C	-0.446
YDL238C	-0.876
YJL044C	-0.004
YCR102W-A	-0.508
YNL143C	0.719
YPR184W	-0.640
YPR122W	-1.287
YOR308C	0.378
YJR001W	-0.039
YGR140W	NaN
YDR316W	0.927
YOR083W	0.059
YGR222W	1.409
YDR057W	-3.941
YOR109W	-0.132
YNL304W	-0.003
YMR048W	-8.266
YKL176C	1.936
YGR085C	0.935
YOR008C-A	0.191
YKL135C	-1.330
YML054C	-0.455
YKR007W	1.237
YHR161C	-0.034
YGR007W	0.051
YDR142C	-0.960
YIL029C	-2.343
YER067C-A	0.054
YGR243W	1.074
YBR195C	0.906
YBR145W	-0.632
YBL087C	0.037
YNL233W	-1.998
YOR144C	-0.200
YLR144C	0.273
YOR100C	0.161
YJL013C	0.349
YCR086W	0.940
YHR017W	-0.182
YLL063C	0.189
YCR098C	-0.453
YCR017C	-0.959
YKR017C	-0.292
YBR065C	-0.188
YIL163C	0.156
YJL216C	-0.079
YIL019W	NaN
YHR020W	NaN
YLL017W	-0.247
YFR034C	2.075
YFL052W	0.320
YLR128W	0.003
YDR214W	-0.203
YDL148C	NaN
YPL269W	-2.495
YNL252C	1.890
YLR192C	1.444
YML111W	0.586
YGL073W	NaN
YDR387C	-0.714
YDL034W	-0.570
YJL130C	0.308
YGR137W	0.686
YPL051W	0.107
YKL026C	0.283
YJL115W	-5.177
YGL164C	-0.034
YBR273C	0.767
YBR045C	-0.128
YOR139C	0.496
YER024W	1.441
YBR158W	-0.082
YOR354C	-0.864
YOR176W	NaN
YJR004C	0.557
YOR118W	-0.244
YGL096W	0.114
YDR477W	NaN
YDR151C	0.393
YBR129C	-0.016
YLR030W	-0.700
YPR092W	-1.057
YGL242C	-0.060
YBL105C	NaN
YLR083C	0.598
YLR037C	0.245
YMR222C	-0.006
YER068C-A	NaN
YDL158C	NaN
YOR013W	0.659
