Gene ID	Gene systematic name	Gene common name	NPV hap alpha | growth (spot assay) | standard | YPG [3%] | Merz S~Westermann B, 2009
5093	YOL044W	PEX15	0.00000
5094	YOL045W	PSK2	0.00000
5095	YOL046C	YOL046C	0.00000
5096	YOL047C	LDS2	0.00000
5097	YOL048C	RRT8	0.00000
5098	YOL049W	GSH2	0.00000
5099	YOL050C	YOL050C	0.00000
5101	YOL052C	SPE2	0.00000
5102	YOL052C-A	DDR2	0.00000
5103	YOL053W	AIM39	0.00000
5104	YOL054W	PSH1	0.00000
5105	YOL055C	THI20	0.00000
5106	YOL056W	GPM3	0.00000
5107	YOL057W	YOL057W	0.00000
5108	YOL058W	ARG1	0.00000
5109	YOL059W	GPD2	0.00000
5110	YOL060C	MAM3	0.00000
5111	YOL061W	PRS5	0.00000
5112	YOL062C	APM4	0.00000
5113	YOL063C	CRT10	0.00000
5114	YOL064C	MET22	0.00000
5115	YOL065C	INP54	0.00000
5117	YOL067C	RTG1	0.00000
5118	YOL068C	HST1	0.00000
5120	YOL070C	NBA1	0.00000
5122	YOL072W	THP1	0.00000
5124	YOL075C	YOL075C	0.00000
5125	YOL076W	MDM20	0.00000
5128	YOL079W	YOL079W	0.00000
5129	YOL080C	REX4	0.00000
5130	YOL081W	IRA2	0.00000
5131	YOL082W	ATG19	0.00000
5133	YOL084W	PHM7	0.00000
5134	YOL085C	YOL085C	0.00000
5880	YPL274W	SAM3	0.00000
5879	YPL273W	SAM4	0.00000
5878	YPL272C	PBI1	0.00000
5876	YPL270W	MDL2	0.00000
5875	YPL269W	KAR9	0.00000
5873	YPL267W	ACM1	0.00000
5871	YPL265W	DIP5	0.00000
5870	YPL264C	YPL264C	0.00000
5869	YPL263C	KEL3	0.00000
5866	YPL260W	CUB1	0.00000
5867	YPL261C	YPL261C	0.00000
5865	YPL259C	APM1	0.00000
5864	YPL258C	THI21	0.00000
5863	YPL257W	YPL257W	0.00000
5862	YPL256C	CLN2	0.00000
5859	YPL253C	VIK1	0.00000
5856	YPL250C	ATG41	0.00000
5855	YPL249C	GYP5	0.00000
5854	YPL248C	GAL4	0.00000
5853	YPL247C	YPL247C	0.00000
5852	YPL246C	RBD2	0.00000
5851	YPL245W	YPL245W	0.00000
5850	YPL244C	HUT1	0.00000
5847	YPL241C	CIN2	0.00000
5846	YPL240C	HSP82	0.00000
5845	YPL239W	YAR1	0.00000
5842	YPL236C	ENV7	0.00000
5838	YPL232W	SSO1	0.00000
5836	YPL230W	USV1	0.00000
5835	YPL229W	YPL229W	0.00000
5833	YPL227C	ALG5	0.00000
5832	YPL226W	NEW1	0.00000
5831	YPL225W	YPL225W	0.00000
5829	YPL223C	GRE1	0.00000
5828	YPL222W	FMP40	0.00000
5827	YPL221W	FLC1	0.00000
5826	YPL220W	RPL1A	0.00000
5825	YPL219W	PCL8	0.00000
5822	YPL216W	YPL216W	0.00000
5820	YPL214C	THI6	0.00000
5819	YPL213W	LEA1	0.00000
5818	YPL212C	PUS1	0.00000
5814	YPL208W	RKM1	0.00000
5813	YPL207W	TYW1	0.00000
5812	YPL206C	PGC1	0.00000
5811	YPL205C	YPL205C	0.00000
5809	YPL203W	TPK2	0.00000
5808	YPL202C	AFT2	0.00000
5807	YPL201C	YIG1	0.00000
5806	YPL200W	CSM4	0.00000
5805	YPL199C	YPL199C	0.00000
5804	YPL198W	RPL7B	0.00000
5803	YPL197C	YPL197C	0.00000
5802	YPL196W	OXR1	0.00000
5801	YPL195W	APL5	0.00000
5800	YPL194W	DDC1	0.00000
5799	YPL193W	RSA1	0.00000
5798	YPL192C	PRM3	0.00000
5797	YPL191C	YPL191C	0.00000
5795	YPL189W	GUP2	0.00000
5793	YPL187W	MF(ALPHA)1	0.00000
5791	YPL185W	YPL185W	0.00000
